no;state;year;price;pop;pop16;cpi;ndi;sales;pimin
1;1;63;28.6;3383;2236.5;30.6;1558.30453;93.9;26.1
2;1;64;29.8;3431;2276.7;31;1684.073203;95.4;27.5
3;1;65;29.8;3486;2327.5;31.5;1809.841875;98.5;28.9
4;1;66;31.5;3524;2369.7;32.4;1915.160357;96.4;29.5
5;1;67;31.6;3533;2393.7;33.4;2023.546368;95.5;29.6
6;1;68;35.6;3522;2405.2;34.8;2202.485536;88.4;32
7;1;69;36.6;3531;2411.9;36.7;2377.334667;90.1;32.8
8;1;70;39.6;3444;2394.6;38.8;2591.039159;89.8;34.3
9;1;71;42.7;3481;2443.5;40.5;2785.315971;95.4;35.8
10;1;72;42.3;3511;2484.7;41.8;3034.808297;101.1;37.4
11;1;73;42.1;3540;2526;44.4;3387.574086;102.9;37.3
12;1;74;43.1;3574;2573.9;49.3;3718.867175;108.2;41.4
13;1;75;46.6;3614;2623.7;53.8;4087.993117;111.7;43
14;1;76;50.4;3657;2677.4;56.9;4486.771835;116.2;46.4
15;1;77;50.1;3690;2719.6;60.6;4899.865687;117.1;48.8
16;1;78;55.1;3728;2764.6;65.2;5450.998326;123;53.6
17;1;79;56.8;3769;2810.7;72.6;5957.140545;121.4;56.5
18;1;80;60.6;3894;2898.9;82.4;6466.350293;123.2;59.3
19;1;81;68.8;3917;2924.7;90.9;7042.023161;119.6;62.6
20;1;82;73.1;3943;2953.5;96.5;7505.21998;119.1;67.8
21;1;83;84.4;3959;2977.5;99.6;7974.551856;116.3;78.6
22;1;84;90.8;3990;3009.1;103.9;8693.376058;113;86.8
23;1;85;99;4020;3039.8;107.6;9059.434471;114.5;90.7
24;1;86;103;4050;3072.4;109.6;9674.985211;116.3;98.8
25;1;87;110;4083;3104;113.6;10213.84774;114;103.5
26;1;88;114.4;4102;3124;118.3;10993;112.1;109.2
27;1;89;122.3;4118;3140;124;11634;105.6;121.5
28;1;90;139.1;4129.2;3148.6;130.7;12806;108.6;132.3
29;1;91;144.4;4178.3;3185.1;136.2;13360;107.9;137.4
30;1;92;172.2;4226.3;3226.7;140.3;14533;109.1;159.5
31;3;63;23.9;1517;982.4;30.6;1944.745058;125;24.9
32;3;64;24;1549;1005.6;31;2063.515998;121;25.5
33;3;65;24.2;1575;1024.9;31.5;2162.663914;123.2;25.3
34;3;66;29.6;1609;1051.9;32.4;2318.615324;113.9;25.5
35;3;67;29.2;1637;1078.9;33.4;2446.681382;117.1;26
36;3;68;31.3;1667;1106;34.8;2720.370941;115.6;32.3
37;3;69;36.1;1693;1117.5;36.7;2979.601429;113.8;33.3
38;3;70;37.1;1772;1226.6;38.8;3269.815641;115.2;34.6
39;3;71;38.5;1878;1313.5;40.5;3549.701945;109.6;36.6
40;3;72;38;1975;1393.6;41.8;3800.670107;125;37.2
41;3;73;38.7;2075;1476.5;44.4;4219.983168;128.3;36.5
42;3;74;39.2;2156;1547;49.3;4508.131798;133.1;37.8
43;3;75;47.7;2200;1591.4;53.8;4742.575308;121.8;40.5
44;3;76;49.1;2244;1635.8;56.9;5158.789996;122.3;43.4
45;3;77;48.7;2304;1690.8;60.6;5567.775149;121.7;44.7
46;3;78;53.6;2373;1750.6;65.2;6283.499166;124.7;49.5
47;3;79;58.6;2450;1812.4;72.6;7099.40389;124.6;53.7
48;3;80;60.8;2718;2044;82.4;7823.390234;126.8;57.2
49;3;81;63.3;2794;2103.8;90.9;8647.557285;113.8;62.7
50;3;82;73.3;2860;2153.1;96.5;8879.935212;113.5;68.1
51;3;83;80.5;2963;2231.2;99.6;9579.134577;111.1;79.6
52;3;84;92.8;3053;2300.7;103.9;10549.95792;107.1;90.2
53;3;85;98.8;3161;2384.7;107.6;11256.38682;107.1;97.5
54;3;86;106.7;3279;2483.1;109.6;11796.5364;107.9;101.2
55;3;87;113.5;3386;2569;113.6;12367.66971;106.1;103.9
56;3;88;113.5;3489;2638;118.3;13008;102.2;113.7
57;3;89;125.6;3556;2672;124;13625;96.8;126.4
58;3;90;130.2;3598.2;2703.7;130.7;13826;88.9;133.6
59;3;91;151.4;3681.7;2759.1;136.2;14232;81.2;146.9
60;3;92;165.7;3762.2;2804.8;140.3;15179;79;165.4
61;4;63;27;1907;1296.7;30.6;1480.333494;103.4;25.8
62;4;64;27.3;1939;1320.7;31;1610.079769;102.6;25.7
63;4;65;27.2;1941;1323.6;31.5;1710.198943;100.3;26.1
64;4;66;30.3;1963;1344.8;32.4;1883.87506;98.9;26.2
65;4;67;30.4;1972;1357.3;33.4;2004.426718;102.9;27.5
66;4;68;30.9;1983;1374.6;34.8;2143.367612;104;29.2
67;4;69;30.9;1995;1389;36.7;2286.395002;102.9;29.9
68;4;70;36.7;1923;1366.9;38.8;2493.784719;100.3;34.3
69;4;71;38.8;1961;1405.4;40.5;2710.369053;104.1;36.8
70;4;72;44.1;1999;1442.9;41.8;2950.450745;103.9;37.4
71;4;73;45.1;2030;1474.6;44.4;3410.181643;108;37.3
72;4;74;45.5;2063;1508.3;49.3;3807.593465;109.7;38
73;4;75;48.6;2112;1552.5;53.8;4057.891398;114.8;43
74;4;76;50.9;2113;1565.1;56.9;4362.335416;119.1;44.7
75;4;77;52.6;2143;1596.8;60.6;4859.86641;122.6;45.9
76;4;78;56.5;2167;1623.7;65.2;5467.732821;127.3;49.9
77;4;79;58.4;2180;1641;72.6;6015.323402;126.5;52.2
78;4;80;61.5;2286;1715.1;82.4;6278.902451;131.8;57.3
79;4;81;64.7;2296;1725.7;90.9;7101.309947;128.7;59.9
80;4;82;72.1;2291;1724.7;96.5;7390.429601;127.4;64.7
81;4;83;82;2328;1757.4;99.6;7886.938972;128;74.8
82;4;84;93.6;2349;1776.7;103.9;8546.908217;123.1;84.8
83;4;85;98.5;2359;1790.1;107.6;9134.342143;125.8;92.5
84;4;86;103.6;2371;1804.6;109.6;9550.1432;126;98.8
85;4;87;113;2388;1819;113.6;9886.257569;122.3;103.5
86;4;88;119.9;2395;1823;118.3;10630;121.5;112.1
87;4;89;127.7;2406;1831;124;11243;118.3;118.9
88;4;90;141.2;2411.1;1834.9;130.7;12370;113.1;129.1
89;4;91;146.5;2432.7;1851.2;136.2;12917;116.8;132.5
90;4;92;177.3;2460.4;1876.7;140.3;13879;126;153.1
91;5;63;25.3;17556;12072;30.6;2776.096562;142;23.9
92;5;64;25.5;18003;12384.3;31;2974.92948;138.3;24
93;5;65;25.3;18403;12673.3;31.5;3107.844963;140;24.2
94;5;66;25.5;18669;12898.5;32.4;3296.952359;136.8;29.6
95;5;67;26;18992;13181.8;33.4;3462.286253;135.8;29.2
96;5;68;35.4;19179;13370.3;34.8;3690.295741;124.3;31.3
97;5;69;36.6;19443;13681.6;36.7;3919.385842;123.9;33.3
98;5;70;38.8;19953;14317.6;38.8;4192.781105;123;37.1
99;5;71;39.7;20266;14670.5;40.5;4414.306911;121;38.5
100;5;72;39.9;20447;14938.3;41.8;4650.961308;123.5;38
101;5;73;39.9;20670;15243.7;44.4;5103.738443;124.4;38.7
102;5;74;41.9;20915;15566.6;49.3;5607.304421;126.7;39.2
103;5;75;45;21216;15933;53.8;6138.966355;127.1;44.5
104;5;76;48.3;21550;16318.7;56.9;6630.645582;128;44.9
105;5;77;49;21900;16697.6;60.6;7234.708633;126.4;48.7
106;5;78;58.7;22314;17117.2;65.2;8021.395397;126.1;53.6
107;5;79;60.1;22694;17481.6;72.6;8957.20685;121.9;57.1
108;5;80;62.1;23669;20853.4;82.4;9891.937689;120.2;60.8
109;5;81;66.4;24196;18670.6;90.9;10816.94301;118.6;63.3
110;5;82;72.8;24724;19064.1;96.5;11361.5723;115.4;71.6
111;5;83;84.9;25174;19419.8;99.6;12027.23033;110.8;80.5
112;5;84;94.9;25622;19776.5;103.9;13019.2337;104.8;92.8
113;5;85;98;26358;20215.4;107.6;13755.13162;102.8;98.8
114;5;86;104.4;27001;20695.9;109.6;14350.54976;99.7;106.6
115;5;87;103.9;27663;21156;113.6;15016.20779;97.5;113.5
116;5;88;117.4;28314;21591;118.3;16059;90.1;113.5
117;5;89;126.4;29063;22081;124;16779;82.4;125.6
118;5;90;163.8;29602.1;22490.6;130.7;17384;77.8;130.2
119;5;91;186.8;30218.8;22694;136.2;17705;68.7;151.4
120;5;92;201.9;30703.3;22920;140.3;18495;67.5;165.7
121;7;63;26.8;2716;1883.5;30.6;2913.680015;156.2;26.2
122;7;64;27.8;2784;1929.7;31;3104.144592;143.5;26.9
123;7;65;28.1;2830;1961.5;31.5;3249.668089;147;26.5
124;7;66;30.1;2886;2004.9;32.4;3493.633952;144.5;30
125;7;67;31.1;2918;2034.8;33.4;3763.280431;145.6;31
126;7;68;31.3;2961;2075.2;34.8;3897.033645;143.2;32.1
127;7;69;32.2;3000;2127.2;36.7;4135.649379;144.7;35
128;7;70;42.2;3032;2155.2;38.8;4482.33771;120;39.3
129;7;71;45.5;3063;2201.4;40.5;4715.603315;117.6;40.2
130;7;72;51.3;3074;2234.2;41.8;4948.868921;110.8;41.6
131;7;73;50.6;3076;2258.3;44.4;5496.722086;109.3;40.6
132;7;74;52.5;3085;2292.9;49.3;5949.342962;112.4;41.3
133;7;75;54.5;3097;2327.6;53.8;6407.313967;110.2;44.3
134;7;76;57.6;3101;2356.5;56.9;6838.534329;113.4;52.2
135;7;77;58.4;3107;2384.5;60.6;7505.160348;117.3;52.3
136;7;78;61.7;3116;2415.3;65.2;8309.819684;117.5;56.3
137;7;79;64.4;3115;2435.5;72.6;9295.313365;117.4;58.7
138;7;80;67;3108;2424;82.4;10384.59954;118;60
139;7;81;80.1;3134;2461.5;90.9;11470.67564;116.4;64.5
140;7;82;85.6;3153;2487.6;96.5;12380.19749;114.7;71.6
141;7;83;95.6;3138;2487.6;99.6;13485.53406;114.1;83.1
142;7;84;113.5;3154;2505.9;103.9;14927.92872;112.5;94.8
143;7;85;118.6;3175;2525.1;107.6;15685.50692;111;100.3
144;7;86;118.5;3193;2541.5;109.6;16486.95618;108.5;101.8
145;7;87;122.7;3211;2555;113.6;17762.42683;109;113.5
146;7;88;129.7;3233;2568;118.3;19559;104.8;121.5
147;7;89;142;3239;2564;124;20687;100.6;134.8
148;7;90;171.2;3242.9;2567.1;130.7;21447;91.5;150.9
149;7;91;169.5;3246.9;2555.4;136.2;21967;86.7;163.3
150;7;92;193.5;3237;2536.7;140.3;22891;83.6;175.9
151;8;63;26.8;480;317.7;30.6;2261.462369;165.8;26.8
152;8;64;27.1;494;326.3;31;2325.3401;170.9;28.5
153;8;65;27.2;503;332.1;31.5;2529.36748;170.8;27.9
154;8;66;31;514;343.6;32.4;2691.445306;161.3;28.2
155;8;67;30.7;524;353.2;33.4;2864.010521;158.2;29.4
156;8;68;32;533;359;34.8;3061.364108;164.8;30.9
157;8;69;32.2;540;362.8;36.7;3287.319666;175.5;30.7
158;8;70;39;584;378.2;38.8;3495.160642;155;32.6
159;8;71;41.3;563;392.6;40.5;3730.650189;161.1;34.2
160;8;72;44.7;570;403.1;41.8;4015.716482;156.3;34.3
161;8;73;44;573;409.9;44.4;4438.072228;154.7;35.3
162;8;74;44.2;576;416.6;49.3;4755.554087;151.3;35.8
163;8;75;45.9;579;424.3;53.8;5112.125304;147.6;39.5
164;8;76;50.1;582;431;56.9;5440.094551;153;46.1
165;8;77;51.7;582;434.8;60.6;5850.05611;153.3;49.2
166;8;78;58.7;584;440.6;65.2;6407.79451;155.5;52.1
167;8;79;60;582;441.5;72.6;7017.016455;150.2;56.2
168;8;80;62.7;595;454;82.4;7773.061843;150.5;58.1
169;8;81;66;598;458.8;90.9;8492.878069;152.6;62.8
170;8;82;74.1;602;463.6;96.5;9213.647694;154.1;65.4
171;8;83;82;606;469.4;99.6;10081.24076;149.6;74.9
172;8;84;91.1;613;476.1;103.9;10806.77738;144;84.2
173;8;85;98.7;622;481.8;107.6;11563.77617;144.5;90.1
174;8;86;105.2;633;492.4;109.6;12062.40383;142.4;93.3
175;8;87;111.4;644;502;113.6;12960.50567;141;100.3
176;8;88;119.3;660;513;118.3;14137;137.1;109.2
177;8;89;124;673;522;124;14949;131.7;120.2
178;8;90;140;681.2;528.3;130.7;16435;127.2;131.5
179;8;91;143.2;695.5;537.5;136.2;16732;118.8;141.6
180;8;92;174.7;704.7;543.6;140.3;18300;120;159.1
181;9;63;23.4;792;563.1;30.6;2733.226538;246.4;24.7
182;9;64;23.9;795;559.3;31;2894.00457;235.3;25.2
183;9;65;24.1;802;560.2;31.5;3068.44348;246.5;25.1
184;9;66;24.1;806;559.3;32.4;3215.560633;295.9;24.7
185;9;67;26.6;808;559.3;33.4;3479.320672;249.8;26.3
186;9;68;26.7;802;554.4;34.8;3752.538242;224.3;27.1
187;9;69;27.2;798;561.2;36.7;3907.011253;212.2;28.3
188;9;70;28.5;756;563.1;38.8;4202.296396;200.4;28.8
189;9;71;32.6;750;560.2;40.5;4600.563546;213;30.2
190;9;72;33.7;744;558.3;41.8;4964.153082;220.6;29.9
191;9;73;34.5;734;553.4;44.4;5310.929228;209.4;30.1
192;9;74;36;721;547.6;49.3;5894.143657;182.7;31.3
193;9;75;39.4;711;543.7;53.8;6587.69595;176.5;33.6
194;9;76;47.8;697;536.9;56.9;7003.827326;167.7;37.9
195;9;77;51.9;683;529.2;60.6;7770.938196;136.7;38.4
196;9;78;59.8;671;523.3;65.2;8369.915177;130.3;42.8
197;9;79;59.3;656;514.6;72.6;9306.210773;128.5;45.8
198;9;80;65.6;638;518.5;82.4;10605.04507;129.7;48.5
199;9;81;69;631;512.7;90.9;11612.79757;131.9;51.8
200;9;82;74.8;631;512.7;96.5;12167.6394;132;56.4
201;9;83;86.3;623;505.9;99.6;13222.67956;124.5;68.8
202;9;84;98.5;623;505.9;103.9;14479.48038;124.6;76
203;9;85;100.4;623;502.9;107.6;15439.94522;122.1;83.6
204;9;86;109.3;625;502.9;109.6;15675.33267;117.2;91.3
205;9;87;112.5;622;501;113.6;16632.645;113;94.6
206;9;88;119;617;494;118.3;18397;105.4;102.1
207;9;89;135.9;604;478;124;19937;101.1;109.4
208;9;90;145.7;587.5;465;130.7;19351;84.1;128.6
209;9;91;143.3;578.8;452;136.2;20231;82.2;136.5
210;9;92;187.4;570.1;447.4;140.3;22101;82.6;157.9
211;10;63;26.3;5532;3996.8;30.6;1980.686778;137.5;26.9
212;10;64;29.7;5654;4087.2;31;2122.916946;125.5;27.5
213;10;65;29.7;5796;4197.7;31.5;2261.986443;131.1;29.8
214;10;66;30;5914;4292.1;32.4;2430.555531;131.3;30.6
215;10;67;30.2;6035;4401.6;33.4;2599.124618;132.8;31.5
216;10;68;32;6210;4559.3;34.8;2861.460261;129.3;33.3
217;10;69;41.3;6354;4733.1;36.7;3131.170801;121.2;34.2
218;10;70;43.5;6789;5188.1;38.8;3444.07717;123.6;34.3
219;10;71;43.8;7101;5471.4;40.5;3693.77013;123;35.8
220;10;72;46.8;7407;5754.6;41.8;3978.230466;126;40.9
221;10;73;47.4;7757;6073.1;44.4;4483.937728;132.6;42.1
222;10;74;48.1;8087;6387.5;49.3;4813.701006;136;42.4
223;10;75;51.7;8253;6572.3;53.8;5129.768045;131.9;44.5
224;10;76;55.9;8348;6705.9;56.9;5436.353073;130.3;47.9
225;10;77;55.9;8481;6862.6;60.6;5965.238585;133.1;49.5
226;10;78;66.3;8661;7051.4;65.2;6677.44298;133.4;54.7
227;10;79;66.5;8860;7251.3;72.6;7425.468305;135.4;56.6
228;10;80;69.8;9749;8052.9;82.4;8227.225028;139;59.3
229;10;81;72.8;10183;8426.6;90.9;9132.230317;132.8;62.6
230;10;82;79;10416;8626.4;96.5;9545.224581;131.8;67.8
231;10;83;90.5;10680;8855.5;99.6;10352.24909;127.6;78.9
232;10;84;99.3;10976;9113.6;103.9;11091.84596;124.7;86.8
233;10;85;104.2;11053;9113.6;107.6;11764.0152;124.2;90.7
234;10;86;113.8;11373;9384.8;109.6;12378.23881;124.7;100.1
235;10;87;120.8;12023;9649;113.6;13193.69177;125.1;103.9
236;10;88;130.5;12335;9870;118.3;14144;119.5;109.2
237;10;89;139.8;12671;10113;124;15049;113.8;122.3
238;10;90;150.1;12971.8;10353.1;130.7;15859;110.1;132.3
239;10;91;174.8;13311.7;10561.6;136.2;16254;98.2;138.2
240;10;92;187;13523.2;10664.3;140.3;17246;95.9;159.5
241;11;63;26.9;4206;2768.4;30.6;1743.939455;108.3;26.1
242;11;64;27.5;4304;2840;31;1865.922179;107.6;26.5
243;11;65;30.9;4391;2903.9;31.5;2024.086219;103.5;26.2
244;11;66;30.6;4462;2965;32.4;2193.621531;104.8;26.2
245;11;67;31.5;4490;2996.5;33.4;2366.258098;106.7;27.3
246;11;68;33.3;4579;3077.6;34.8;2530.62465;105;29.5
247;11;69;34.2;4641;3113.9;36.7;2730.138767;108.6;29
248;11;70;34.3;4589;3159.7;38.8;2955.496681;109.9;32.5
249;11;71;35.8;4679;3243.7;40.5;3189.12461;115.7;34.3
250;11;72;40.9;4751;3314.3;41.8;3467.203871;117;34.1
251;11;73;42.4;4826;3392.5;44.4;3885.87339;119.8;33.5
252;11;74;42.4;4888;3463.1;49.3;4188.762697;123.7;35.2
253;11;75;44.5;4926;3519.4;53.8;4493.719507;122.9;38.1
254;11;76;47.9;4968;3581.5;56.9;4872.072703;125.9;41
255;11;77;49.5;5027;3652.1;60.6;5279.370951;127.9;42.2
256;11;78;54.7;5075;3711.3;65.2;5893.419579;130.6;49.2
257;11;79;56.6;5117;3764.7;72.6;6422.700552;131;50.2
258;11;80;59.3;5464;4036.7;82.4;7014.006638;134;52.3
259;11;81;62.6;5574;4133.1;90.9;7744.869231;131.7;54.7
260;11;82;67.8;5639;4197;96.5;8357.884108;131.2;61.9
261;11;83;78.9;5732;4283.8;99.6;9010.181556;128.6;72.4
262;11;84;86.8;5837;4382.1;103.9;9955.030793;126.3;81.3
263;11;85;90.7;5973;4486.1;107.6;10577.34944;128.8;83
264;11;86;100.1;6100;4595.9;109.6;11423.99224;129;88.7
265;11;87;103.9;6222;4698;113.6;12115.57226;129.3;95.3
266;11;88;109.2;6342;4778;118.3;12925;124.1;99.9
267;11;89;122.4;6436;4842;124;13464;117.1;111.9
268;11;90;132.3;6503.3;4892.6;130.7;14354;113.8;125.2
269;11;91;138.2;6648.8;4987.7;136.2;14694;109.6;129
270;11;92;159.5;6777.3;5088.7;140.3;15943;109.2;151.9
271;13;63;28;689;451.6;30.6;1938.813877;97;24.9
272;13;64;29.4;687;453.5;31;2021.60647;90.1;26.2
273;13;65;29.1;693;461.2;31.5;2302.47248;95.2;26.1
274;13;66;29.8;700;468.9;32.4;2314.000563;94.5;26.5
275;13;67;30.1;701;474.7;33.4;2445.0015;98.3;27.4
276;13;68;32;709;485.3;34.8;2559.234318;99.1;32.3
277;13;69;31.9;718;487.2;36.7;2813.900141;100.6;32.6
278;13;70;33.8;713;493;38.8;3058.085888;102.4;34
279;13;71;33.6;735;513.2;40.5;3245.679231;108.5;34.4
280;13;72;33.7;756;533.4;41.8;3615.625879;126.1;34.4
281;13;73;36.3;772;547.9;44.4;4165.829817;121.8;34.4
282;13;74;38;794;568.1;49.3;4643.721238;125.6;35.8
283;13;75;40.3;815;586.4;53.8;4804.066385;123.3;38.6
284;13;76;42.5;836;604.7;56.9;5161.436943;125.1;42.6
285;13;77;45.6;859;623;60.6;5555.487764;125;43.4
286;13;78;51.5;882;640.3;65.2;6217.828505;122.8;49.5
287;13;79;55.4;905;655.7;72.6;6672.66376;117.5;51.7
288;13;80;56.4;944;677.9;82.4;7348.628598;115.2;55.3
289;13;81;59.2;959;687.5;90.9;8047.649602;114.1;55.9
290;13;82;67.6;965;691.3;96.5;8138.826254;111.5;64.3
291;13;83;76.5;989;707.7;99.6;8744.57459;111.3;71
292;13;84;88.5;1001;717.3;103.9;9148.057478;103.6;81.7
293;13;85;97.6;1004;723.1;107.6;9493.899953;100.7;87.4
294;13;86;99.9;1002;726;109.6;9883.758744;96.7;97.8
295;13;87;107.1;998;726;113.6;10386.80234;95;102.7
296;13;88;121.9;1003;732;118.3;11177;84.5;112.9
297;13;89;133.6;1014;742;124;12041;78.4;118.6
298;13;90;141.3;1027.3;751.7;130.7;13318;90.1;129.5
299;13;91;144.4;1059.9;777.4;136.2;14079;85.4;127
300;13;92;167.2;1088.5;802.2;140.3;14572;85.1;155.1
301;14;63;25.4;10369;7115.8;30.6;2655.691087;145.5;24.1
302;14;64;25.6;10538;7225.6;31;2831.550804;144.5;25
303;14;65;26.2;10641;7307.5;31.5;3037.767258;145.5;24.5
304;14;66;30;10787;7425.9;32.4;3229.328736;144.2;24.7
305;14;67;30.1;10887;7521.3;33.4;3391.580261;141.8;25
306;14;68;35.6;10958;7608.9;34.8;3582.094954;132.6;26.3
307;14;69;35.2;11047;7738;36.7;3795.638897;130.4;27
308;14;70;41.4;11113;7860.3;38.8;4013.369975;124.8;28.3
309;14;71;41.4;11172;7963.3;40.5;4319.030912;125.6;30.1
310;14;72;41.9;11200;8054.8;41.8;4560.838023;126.6;30.6
311;14;73;41;11179;8110.6;44.4;5158.551705;124.4;30.6
312;14;74;41.9;11169;8177.1;49.3;5603.434918;131.9;31.5
313;14;75;45.2;11178;8255.1;53.8;6120.54623;131.8;33.3
314;14;76;48.4;11209;8342.7;56.9;6523.558082;134.4;36
315;14;77;49.4;11232;8417.9;60.6;7108.710355;134;36.9
316;14;78;54.6;11238;8472.7;65.2;7812.149224;136.7;41.4
317;14;79;56.8;11229;8505.5;72.6;8642.24896;135.3;43.4
318;14;80;60;11427;8673.1;82.4;9179.249168;135.2;46.3
319;14;81;63.1;11462;8714.5;90.9;10134.96299;133;49.4
320;14;82;69.6;11448;8716.4;96.5;10588.22047;130.7;56.3
321;14;83;80.8;11486;8759.7;99.6;11044.61831;127.9;66.4
322;14;84;89.6;11511;8799.2;103.9;12027.54852;124;75.4
323;14;85;96.7;11538;8832.9;107.6;12644.10431;121.6;79.3
324;14;86;108.4;11551;8864.7;109.6;13314.04609;118.2;85.4
325;14;87;116.2;11582;8909;113.6;13970.37968;109.5;90.5
326;14;88;124.1;11614;8961;118.3;15103;107.6;94.4
327;14;89;132.7;11658;9003;124;16060;104.6;103.8
328;14;90;147.3;11679.5;9019.6;130.7;17510;94.1;115.6
329;14;91;154.4;11793.9;9080.1;136.2;17908;96.1;120.5
330;14;92;179.8;11883.8;9138.5;140.3;18914;94.8;135.8
331;15;63;24.4;4780;3206.7;30.6;2204.326314;138.5;24.1
332;15;64;26;4832;3244.2;31;2344.611002;134.3;25
333;15;65;26;4893;3296.9;31.5;2562.25857;135.3;24.5
334;15;66;28.8;4973;3365.1;32.4;2702.543258;132.1;24.7
335;15;67;29.1;5012;3411.1;33.4;2784.032158;134.8;25
336;15;68;29.8;5065;3472.5;34.8;2970.734574;134.3;26.3
337;15;69;29.7;5118;3514.8;36.7;3194.571172;132.9;27
338;15;70;30.6;5193;3616.5;38.8;3304.942214;134.6;28.3
339;15;71;32.2;5239;3681.7;40.5;3570.039014;139.3;30.1
340;15;72;32.5;5278;3743.1;41.8;3812.442703;149.2;30.6
341;15;73;32.9;5304;3794.9;44.4;4427.219719;156;30.6
342;15;74;34.5;5318;3840;49.3;4611.859125;159.6;31.5
343;15;75;36.7;5312;3869.8;53.8;5024.461149;162.4;33.3
344;15;76;38.7;5326;3912;56.9;5521.646588;166.6;36
345;15;77;40.6;5352;3960;60.6;6012.642997;173;36.9
346;15;78;50;5387;4013.7;65.2;6663.52269;150.9;41.4
347;15;79;52.5;5400;4045.4;72.6;7358.757101;148.9;43.4
348;15;80;53.7;5490;4103.9;82.4;7760.012569;146.9;46.3
349;15;81;58.3;5468;4102;90.9;8407.797747;148.5;49.4
